beat,year,stops
2022,2021,864
2023,2015,209
2023,2016,444
2023,2017,1201
2023,2018,1446
2023,2019,1462
2023,2020,778
2023,2021,1403
2024,2015,628
2024,2016,781
2024,2017,2003
2024,2018,1844
2024,2019,1682
2024,2020,680
2024,2021,922
2031,2015,382
2031,2016,565
2031,2017,945
2031,2018,1480
2031,2019,1565
2031,2020,760
2031,2021,1053
2032,2015,165
2032,2016,477
2032,2017,1242
2032,2018,1447
2032,2019,1634
2032,2020,742
2032,2021,982
2033,2015,258
2033,2016,473
2033,2017,1243
2033,2018,1934
2033,2019,2154
2033,2020,992
2033,2021,1658
2211,2015,189
2211,2016,466
2211,2017,668
2211,2018,738
2211,2019,659
2211,2020,250
2211,2021,356
2212,2015,205
2212,2016,612
2212,2017,998
2212,2018,1454
2212,2019,1199
2212,2020,675
2212,2021,532
2213,2015,221
2213,2016,680
2213,2017,863
2213,2018,1229
2213,2019,1107
2213,2020,502
2213,2021,473
2221,2015,203
2221,2016,983
2221,2017,1310
2221,2018,1720
2221,2019,1666
2221,2020,655
2221,2021,654
2222,2015,157
2222,2016,954
2222,2017,1254
2222,2018,1620
2222,2019,1680
2222,2020,641
2222,2021,810
2223,2015,215
2223,2016,1141
2223,2017,1633
2223,2018,1883
2223,2019,1907
2223,2020,896
2223,2021,1066
2232,2015,168
2232,2016,675
2232,2017,1326
2232,2018,1573
2232,2019,1376
2232,2020,688
2232,2021,848
2233,2015,243
2233,2016,823
2233,2017,1185
2233,2018,1648
2233,2019,1558
2233,2020,810
2233,2021,871
2234,2015,244
2234,2016,664
2234,2017,1017
2234,2018,1445
2234,2019,1287
2234,2020,612
2234,2021,519
2411,2015,352
2411,2016,532
2411,2017,777
2411,2018,956
2411,2019,1544
2411,2020,836
2411,2021,1091
2412,2015,586
2412,2016,962
2412,2017,909
2412,2018,1224
2412,2019,2297
2412,2020,1173
2412,2021,1359
2413,2015,310
2413,2016,1108
2413,2017,1164
2413,2018,1901
2413,2019,3190
2413,2020,1843
2413,2021,1989
2422,2015,251
2422,2016,530
2422,2017,853
2422,2018,1299
2422,2019,1433
2422,2020,925
2422,2021,991
2423,2015,103
2423,2016,307
2423,2017,481
2423,2018,998
2423,2019,1088
2423,2020,445
2423,2021,616
2424,2015,158
2424,2016,536
2424,2017,636
2424,2018,996
2424,2019,1338
2424,2020,716
2424,2021,855
2431,2015,151
2431,2016,338
2431,2017,414
2431,2018,735
2431,2019,778
2431,2020,315
2431,2021,371
2432,2015,272
2432,2016,717
2432,2017,794
2432,2018,1535
2432,2019,1895
2432,2020,724
2432,2021,812
2433,2015,196
2433,2016,311
2433,2017,491
2433,2018,1158
2433,2019,1470
2433,2020,565
2433,2021,688
2511,2015,177
2511,2016,276
2511,2017,313
2511,2018,704
2511,2019,680
2511,2020,470
2511,2021,312
2512,2015,458
2512,2016,526
2512,2017,733
2512,2018,1465
2512,2019,1556
2512,2020,970
2512,2021,727
2513,2015,234
2513,2016,247
2513,2017,383
2513,2018,948
2513,2019,909
2513,2020,524
2513,2021,358
2514,2015,528
2514,2016,550
2514,2017,662
2514,2018,1503
2514,2019,1358
2514,2020,992
2514,2021,705
2515,2015,777
2515,2016,865
2515,2017,1135
2515,2018,2429
2515,2019,2403
2515,2020,1607
2515,2021,1083
2521,2015,731
2521,2016,809
2521,2017,1328
2521,2018,2043
2521,2019,2456
2521,2020,1788
2521,2021,1192
2522,2015,484
2522,2016,624
2522,2017,966
2522,2018,1880
2522,2019,2273
2522,2020,1724
2522,2021,1210
2523,2015,398
2523,2016,464
2523,2017,565
2523,2018,1036
2523,2019,1356
2523,2020,954
2523,2021,287
2524,2015,351
2524,2016,452
2524,2017,785
2524,2018,1257
2524,2019,1449
2524,2020,1132
2524,2021,536
2525,2015,355
2525,2016,516
2525,2017,723
2525,2018,1430
2525,2019,1732
2525,2020,1081
2525,2021,573
2531,2015,846
2531,2016,1063
2531,2017,2102
2531,2018,3510
2531,2019,2391
2531,2020,2097
2531,2021,1425
2532,2015,770
2532,2016,1269
2532,2017,2358
2532,2018,3119
2532,2019,2832
2532,2020,2295
2532,2021,1643
2533,2015,688
2533,2016,1252
2533,2017,2443
2533,2018,3318
2533,2019,3182
2533,2020,3280
2533,2021,2527
2534,2015,552
2534,2016,736
2534,2017,1365
2534,2018,2383
2534,2019,2579
2534,2020,2502
2534,2021,1320
2535,2015,384
2535,2016,620
2535,2017,1226
2535,2018,2106
2535,2019,2367
2535,2020,2099
2535,2021,1722
3100,2015,1093
3100,2016,1749
3100,2017,2501
3100,2018,3823
3100,2019,4233
3100,2020,1963
3100,2021,1941
6100,2019,1
6100,2021,1
